date,product,quantity,price
2025-10-06,Laptop,1,299.99
2025-10-05,Mouse,2,19.99
2025-10-04,Keyboard,3,49.99
2025-10-03,Monitor,4,199.99
2025-10-02,Headphones,5,79.99
2025-10-01,Laptop,6,299.99
2025-09-30,Mouse,7,19.99
2025-09-29,Keyboard,8,49.99
2025-09-28,Monitor,9,199.99
2025-09-27,Headphones,10,79.99
2025-09-26,Laptop,1,299.99
2025-09-25,Mouse,2,19.99
2025-09-24,Keyboard,3,49.99
2025-09-23,Monitor,4,199.99
2025-09-22,Headphones,5,79.99
2025-09-21,Laptop,6,299.99
2025-09-20,Mouse,7,19.99
2025-09-19,Keyboard,8,49.99
2025-09-18,Monitor,9,199.99
2025-09-17,Headphones,10,79.99
2025-09-16,Laptop,1,299.99
2025-09-15,Mouse,2,19.99
2025-09-14,Keyboard,3,49.99
2025-09-13,Monitor,4,199.99
2025-09-12,Headphones,5,79.99
2025-09-11,Laptop,6,299.99
2025-09-10,Mouse,7,19.99
2025-09-09,Keyboard,8,49.99
2025-09-08,Monitor,9,199.99
2025-09-07,Headphones,10,79.99
2025-10-06,Laptop,1,299.99
2025-10-05,Mouse,2,19.99
2025-10-04,Keyboard,3,49.99
2025-10-03,Monitor,4,199.99
2025-10-02,Headphones,5,79.99
2025-10-01,Laptop,6,299.99
2025-09-30,Mouse,7,19.99
2025-09-29,Keyboard,8,49.99
2025-09-28,Monitor,9,199.99
2025-09-27,Headphones,10,79.99
2025-09-26,Laptop,1,299.99
2025-09-25,Mouse,2,19.99
2025-09-24,Keyboard,3,49.99
2025-09-23,Monitor,4,199.99
2025-09-22,Headphones,5,79.99
2025-09-21,Laptop,6,299.99
2025-09-20,Mouse,7,19.99
2025-09-19,Keyboard,8,49.99
2025-09-18,Monitor,9,199.99
2025-09-17,Headphones,10,79.99
